-1.960400000000000000e+04	-1.682500000000000000e+04	-1.186200000000000000e+04
-1.960200000000000000e+04	-1.743700000000000000e+04	-1.190300000000000000e+04
-1.959800000000000000e+04	-1.663500000000000000e+04	-1.202000000000000000e+04
-1.952100000000000000e+04	-1.800700000000000000e+04	-1.292200000000000000e+04
-1.960300000000000000e+04	-1.704900000000000000e+04	-1.184600000000000000e+04
-1.941700000000000000e+04	-1.777800000000000000e+04	-1.341300000000000000e+04
-1.952800000000000000e+04	-1.760500000000000000e+04	-1.187600000000000000e+04
-1.930800000000000000e+04	-1.768600000000000000e+04	-1.352700000000000000e+04
-1.926700000000000000e+04	-1.856500000000000000e+04	-1.354900000000000000e+04
-1.925600000000000000e+04	-1.706700000000000000e+04	-1.357900000000000000e+04
-1.918100000000000000e+04	-1.762300000000000000e+04	-1.360900000000000000e+04
-1.908500000000000000e+04	-1.763700000000000000e+04	-1.401600000000000000e+04
-1.950200000000000000e+04	-1.818500000000000000e+04	-1.262700000000000000e+04
-1.943200000000000000e+04	-1.819800000000000000e+04	-1.176800000000000000e+04
-1.935200000000000000e+04	-1.849100000000000000e+04	-1.256800000000000000e+04
-1.901000000000000000e+04	-1.819300000000000000e+04	-1.404600000000000000e+04
-1.895800000000000000e+04	-1.757400000000000000e+04	-1.409800000000000000e+04
-1.885100000000000000e+04	-1.692800000000000000e+04	-1.412000000000000000e+04
-1.875500000000000000e+04	-1.772200000000000000e+04	-1.416300000000000000e+04
-1.928100000000000000e+04	-1.856400000000000000e+04	-1.193100000000000000e+04
-1.874800000000000000e+04	-1.751400000000000000e+04	-1.429800000000000000e+04
-1.926600000000000000e+04	-1.878900000000000000e+04	-1.353300000000000000e+04
-1.869700000000000000e+04	-1.691300000000000000e+04	-1.437300000000000000e+04
-1.918200000000000000e+04	-1.908800000000000000e+04	-1.267100000000000000e+04
-1.868000000000000000e+04	-1.876600000000000000e+04	-1.441500000000000000e+04
-1.857300000000000000e+04	-1.806200000000000000e+04	-1.448800000000000000e+04
-1.857100000000000000e+04	-1.867400000000000000e+04	-1.452900000000000000e+04
-1.851900000000000000e+04	-1.805500000000000000e+04	-1.458100000000000000e+04
-1.833900000000000000e+04	-1.735300000000000000e+04	-1.459200000000000000e+04
-1.909500000000000000e+04	-1.929300000000000000e+04	-1.349800000000000000e+04
